PLANT_NAME,PLANT_DESIGN_CAPACITY_MWE,PLANT_COUNTRY,PLANT_STATE,TYPE,PLANT_OVERALL_RATING,PLANT_LATITUDE,PLANT_LONGITUDE,geopoint,PLANT_TYPE_OF_PLANT,PLANT_USED_FOR,PLANT_LOCATION,TOPIC
American Falls Hydro Power Plant ID USA,92.4,United States of America,Idaho,HYDRO,Environmentally Responsible,42.6896,-112.8314,"42.6896, -112.8314",,,,POWERPLANTS
Ashton Hydro Power Plant ID USA,6.8,United States of America,Idaho,HYDRO,Environmentally Responsible,44.2234,-111.4755,"44.2234, -111.4755",,,,POWERPLANTS
Brownlee Hydro Power Plant ID USA,585.4,United States of America,Idaho,HYDRO,Environmentally Responsible,44.4458,-116.7818,"44.4458, -116.7818",,,,POWERPLANTS
Dietrich Drop Hydro Power Plant ID USA,4.8,United States of America,Idaho,HYDRO,Environmentally Responsible,42.9974,-114.1292,"42.9974, -114.1292",,,,POWERPLANTS
Dry Creek Project Hydro Power Plant ID USA,3.6,United States of America,Idaho,HYDRO,Environmentally Responsible,43.7184,-113.1596,"43.7184, -113.1596",,,,POWERPLANTS
Little Mac Project Hydro Power Plant ID USA,1.5,United States of America,Idaho,HYDRO,Environmentally Responsible,42.3497,-114.6534,"42.3497, -114.6534",,,,POWERPLANTS
Moyie Springs Hydro Power Plant ID USA,3.9,United States of America,Idaho,HYDRO,Environmentally Responsible,48.7618,-116.4686,"48.7618, -116.4686",,,,POWERPLANTS
Smith Falls Hydro Project Hydro Power Plant ID USA,38.1,United States of America,Idaho,HYDRO,Environmentally Responsible,48.7618,-116.4686,"48.7618, -116.4686",,,,POWERPLANTS
Soda Hydro Power Plant ID USA,14,United States of America,Idaho,HYDRO,Environmentally Responsible,42.7709,-111.5601,"42.7709, -111.5601",,,,POWERPLANTS
Wilson Lake Hydroelectric Project Hydro Power Plant ID USA,8.4,United States of America,Idaho,HYDRO,Environmentally Responsible,42.6862,-114.2552,"42.6862, -114.2552",,,,POWERPLANTS
Dayton Hydro Hydro Power Plant IL USA,3.6,United States of America,Illinois,HYDRO,Environmentally Responsible,41.3458,-88.8936,"41.3458, -88.8936",,,,POWERPLANTS
Rockton Hydro Power Plant IL USA,1.1,United States of America,Illinois,HYDRO,Environmentally Responsible,42.3344,-89.1632,"42.3344, -89.1632",,,,POWERPLANTS
Upper Sterling Hydro Power Plant IL USA,2.2,United States of America,Illinois,HYDRO,Environmentally Responsible,41.7584,-89.917,"41.7584, -89.917",,,,POWERPLANTS
Markland Hydro Power Plant IN USA,64.8,United States of America,Indiana,HYDRO,Environmentally Responsible,38.8308,-85.0393,"38.8308, -85.0393",,,,POWERPLANTS
Norway Hydro Power Plant IN USA,7.2,United States of America,Indiana,HYDRO,Environmentally Responsible,40.7593,-86.8702,"40.7593, -86.8702",,,,POWERPLANTS
Keokuk Hydro Power Plant IA USA,124.8,United States of America,Iowa,HYDRO,Environmentally Responsible,40.6416,-91.4834,"40.6416, -91.4834",,,,POWERPLANTS
Ottumwa Hydro Power Plant IA USA,3.2,United States of America,Iowa,HYDRO,Environmentally Responsible,41.0306,-92.4136,"41.0306, -92.4136",,,,POWERPLANTS
Dix Dam Hydro Power Plant KY USA,28.2,United States of America,Kentucky,HYDRO,Environmentally Responsible,37.6399,-84.5466,"37.6399, -84.5466",,,,POWERPLANTS
Laurel Hydro Power Plant KY USA,70,United States of America,Kentucky,HYDRO,Environmentally Responsible,37.1111,-84.127,"37.1111, -84.127",,,,POWERPLANTS
Ohio Falls Hydro Power Plant KY USA,80,United States of America,Kentucky,HYDRO,Environmentally Responsible,38.19,-85.6672,"38.19, -85.6672",,,,POWERPLANTS
Bar Mills Hydro Power Plant ME USA,4,United States of America,Maine,HYDRO,Environmentally Responsible,43.4807,-70.7131,"43.4807, -70.7131",,,,POWERPLANTS
Bonny Eagle Hydro Power Plant ME USA,7.2,United States of America,Maine,HYDRO,Environmentally Responsible,43.4807,-70.7131,"43.4807, -70.7131",,,,POWERPLANTS
Great Lakes Hydro America - ME Hydro Power Plant ME USA,135.7,United States of America,Maine,HYDRO,Environmentally Responsible,45.4021,-68.6497,"45.4021, -68.6497",,,,POWERPLANTS
PPL Medway Hydro Hydro Power Plant ME USA,3.2,United States of America,Maine,HYDRO,Environmentally Responsible,45.4021,-68.6497,"45.4021, -68.6497",,,,POWERPLANTS
Salmon Falls Hydro Power Plant ME USA,1.2,United States of America,Maine,HYDRO,Environmentally Responsible,43.4807,-70.7131,"43.4807, -70.7131",,,,POWERPLANTS
Wyman Hydro Hydro Power Plant ME USA,72,United States of America,Maine,HYDRO,Environmentally Responsible,45.5095,-69.9566,"45.5095, -69.9566",,,,POWERPLANTS
Cabot Hydro Power Plant MA USA,61.8,United States of America,Massachusetts,HYDRO,Environmentally Responsible,42.5805,-72.587,"42.5805, -72.587",,,,POWERPLANTS
Chicopee Hydroelectric Station Hydro Power Plant MA USA,2.4,United States of America,Massachusetts,HYDRO,Environmentally Responsible,42.1336,-72.6302,"42.1336, -72.6302",,,,POWERPLANTS
Cobble Mountain Hydro Power Plant MA USA,33,United States of America,Massachusetts,HYDRO,Environmentally Responsible,42.1336,-72.6302,"42.1336, -72.6302",,,,POWERPLANTS
Cosgrove Intake Power Station Hydro Power Plant MA USA,3.2,United States of America,Massachusetts,HYDRO,Environmentally Responsible,42.3468,-71.9077,"42.3468, -71.9077",,,,POWERPLANTS
Lawrence Hydroelectric Associates Hydro Power Plant MA USA,14.8,United States of America,Massachusetts,HYDRO,Environmentally Responsible,42.6678,-70.9586,"42.6678, -70.9586",,,,POWERPLANTS
Redbridge Hydro Power Plant MA USA,3.6,United States of America,Massachusetts,HYDRO,Environmentally Responsible,42.1336,-72.6302,"42.1336, -72.6302",,,,POWERPLANTS
Berrien Springs Hydro Power Plant MI USA,7.2,United States of America,Michigan,HYDRO,Environmentally Responsible,41.9592,-86.4218,"41.9592, -86.4218",,,,POWERPLANTS
Boardman Hydro Power Plant MI USA,1,United States of America,Michigan,HYDRO,Environmentally Responsible,44.6727,-85.5605,"44.6727, -85.5605",,,,POWERPLANTS
Five Channels Hydro Power Plant MI USA,6,United States of America,Michigan,HYDRO,Environmentally Responsible,44.3601,-83.6348,"44.3601, -83.6348",,,,POWERPLANTS
French Paper Hydro Hydro Power Plant MI USA,1.3,United States of America,Michigan,HYDRO,Environmentally Responsible,41.9592,-86.4218,"41.9592, -86.4218",,,,POWERPLANTS
Hodenpyl Hydro Power Plant MI USA,18,United States of America,Michigan,HYDRO,Environmentally Responsible,44.341,-85.578,"44.341, -85.578",,,,POWERPLANTS
Loud Hydro Power Plant MI USA,4,United States of America,Michigan,HYDRO,Environmentally Responsible,44.3601,-83.6348,"44.3601, -83.6348",,,,POWERPLANTS
McClure Hydro Power Plant MI USA,8,United States of America,Michigan,HYDRO,Environmentally Responsible,46.4328,-87.6358,"46.4328, -87.6358",,,,POWERPLANTS
Mottville Hydro Power Plant MI USA,1.6,United States of America,Michigan,HYDRO,Environmentally Responsible,41.9173,-85.5324,"41.9173, -85.5324",,,,POWERPLANTS
Saxon Falls Hydro Power Plant MI USA,1.2,United States of America,Michigan,HYDRO,Environmentally Responsible,46.4122,-89.6882,"46.4122, -89.6882",,,,POWERPLANTS
Secord Hydro Power Plant MI USA,1.2,United States of America,Michigan,HYDRO,Environmentally Responsible,43.9962,-84.3896,"43.9962, -84.3896",,,,POWERPLANTS
Blanchard Hydro Power Plant MN USA,18,United States of America,Minnesota,HYDRO,Environmentally Responsible,46.0106,-94.2653,"46.0106, -94.2653",,,,POWERPLANTS
Prairie River Hydro Power Plant MN USA,1,United States of America,Minnesota,HYDRO,Environmentally Responsible,47.5105,-93.6326,"47.5105, -93.6326",,,,POWERPLANTS
Stockton Hydro Power Plant MO USA,45.2,United States of America,Missouri,HYDRO,Environmentally Responsible,37.7222,-93.8635,"37.7222, -93.8635",,,,POWERPLANTS
Hauser Hydro Power Plant MT USA,17,United States of America,Montana,HYDRO,Environmentally Responsible,47.3078,-111.3508,"47.3078, -111.3508",,,,POWERPLANTS
Thompson Falls Hydro Power Plant MT USA,87.5,United States of America,Montana,HYDRO,Environmentally Responsible,47.6669,-115.1338,"47.6669, -115.1338",,,,POWERPLANTS
Columbus Hydro Power Plant NE USA,39.9,United States of America,Nebraska,HYDRO,Environmentally Responsible,41.5671,-97.5168,"41.5671, -97.5168",,,,POWERPLANTS
Gavins Point Hydro Power Plant NE USA,132.3,United States of America,Nebraska,HYDRO,Environmentally Responsible,42.598,-97.2526,"42.598, -97.2526",,,,POWERPLANTS
Jeffrey Hydro Power Plant NE USA,21.6,United States of America,Nebraska,HYDRO,Environmentally Responsible,41.045,-100.7378,"41.045, -100.7378",,,,POWERPLANTS
Johnson 2 Hydro Power Plant NE USA,22.5,United States of America,Nebraska,HYDRO,Environmentally Responsible,40.5065,-99.827,"40.5065, -99.827",,,,POWERPLANTS
North Platte Hydro Power Plant NE USA,26.2,United States of America,Nebraska,HYDRO,Environmentally Responsible,41.045,-100.7378,"41.045, -100.7378",,,,POWERPLANTS
Ayers Island Hydro Power Plant NH USA,8.4,United States of America,New Hampshire,HYDRO,Environmentally Responsible,43.9358,-71.8224,"43.9358, -71.8224",,,,POWERPLANTS
EHC West Hopkinton Hydro Power Plant NH USA,1,United States of America,New Hampshire,HYDRO,Environmentally Responsible,43.2982,-71.6852,"43.2982, -71.6852",,,,POWERPLANTS
Hooksett Hydro Power Plant NH USA,1.6,United States of America,New Hampshire,HYDRO,Environmentally Responsible,43.2982,-71.6852,"43.2982, -71.6852",,,,POWERPLANTS
Lochmere Hydroelectric Plant Hydro Power Plant NH USA,1.2,United States of America,New Hampshire,HYDRO,Environmentally Responsible,43.5144,-71.4249,"43.5144, -71.4249",,,,POWERPLANTS
Penacook Upper Falls Hydro Hydro Power Plant NH USA,3.4,United States of America,New Hampshire,HYDRO,Environmentally Responsible,43.2982,-71.6852,"43.2982, -71.6852",,,,POWERPLANTS
S C Moore Hydro Power Plant NH USA,140.4,United States of America,New Hampshire,HYDRO,Environmentally Responsible,43.9358,-71.8224,"43.9358, -71.8224",,,,POWERPLANTS
El Vado Dam Hydro Power Plant NM USA,8,United States of America,New Mexico,HYDRO,Environmentally Responsible,36.59278,-106.73205,"36.59278, -106.73205",Dam on river with reservoir,,"Rio Arriba County, NM, USA",POWERPLANTS
Belfort Hydro Power Plant NY USA,2,United States of America,New York,HYDRO,Environmentally Responsible,43.7846,-75.4496,"43.7846, -75.4496",,,,POWERPLANTS
Cornell Hydro Hydro Power Plant NY USA,1.9,United States of America,New York,HYDRO,Environmentally Responsible,42.4533,-76.4758,"42.4533, -76.4758",,,,POWERPLANTS
Dashville Hydro Power Plant NY USA,4.8,United States of America,New York,HYDRO,Environmentally Responsible,41.889,-74.2625,"41.889, -74.2625",,,,POWERPLANTS
Fort Miller Hydroelectric Facility Hydro Power Plant NY USA,5,United States of America,New York,HYDRO,Environmentally Responsible,43.1054,-73.8668,"43.1054, -73.8668",,,,POWERPLANTS
Franklin Hydro Power Plant NY USA,2,United States of America,New York,HYDRO,Environmentally Responsible,44.5868,-74.308,"44.5868, -74.308",,,,POWERPLANTS
Glenwood Hydro Power Plant NY USA,1.5,United States of America,New York,HYDRO,Environmentally Responsible,43.2507,-78.2295,"43.2507, -78.2295",,,,POWERPLANTS
Herkimer Hydro Power Plant NY USA,1.6,United States of America,New York,HYDRO,Environmentally Responsible,43.4198,-74.9651,"43.4198, -74.9651",,,,POWERPLANTS
High Dam Hydro Power Plant NY USA,11.9,United States of America,New York,HYDRO,Environmentally Responsible,43.4285,-76.141,"43.4285, -76.141",,,,POWERPLANTS
Kent Falls Hydro Power Plant NY USA,12.4,United States of America,New York,HYDRO,Environmentally Responsible,44.7408,-73.6792,"44.7408, -73.6792",,,,POWERPLANTS
Lachute Hydro Lower Hydro Power Plant NY USA,3.8,United States of America,New York,HYDRO,Environmentally Responsible,44.1129,-73.7709,"44.1129, -73.7709",,,,POWERPLANTS
Barka II CCGT Power and Desalination Plant,728,Oman,Al Batinah,GAS,Environmentally Responsible,23.707,57.9816,"23.707, 57.9816",Combined Cycle Gas Turbine,Base Load,"40 km W of Muscat, Batinah, Oman",POWERPLANTS
Kot Addu CCGT Power Plant Pakistan,1600,Pakistan,Punjab,GAS,Environmentally Responsible,30.44506644,70.98107815,"30.4450664432, 70.9810781479",Combined Cycle Gas Turbine,,"Kot Addu, Punjab, Pakistan",POWERPLANTS
WAPDA Muzaffargarh Thermal Power Station Pakistan,1350,Pakistan,Punjab,GAS,Environmentally Responsible,30.10622687,71.16883278,"30.1062268687, 71.1688327789",Sub-critical Thermal,,"Muzaffargarh, Punjab, Pakistan",POWERPLANTS
Foundation Power (Daharki) FPCDL CCGT Power Plant Pakistan,179,Pakistan,Sindh,GAS,Environmentally Responsible,27.988,69.671,"27.988, 69.671",Combined Cycle Gas Turbine,,"Daharki, Sindh, Pakistan",POWERPLANTS
Central 9 de Enero (JB) CCGT Power Plant Panama,160,Panama,Colon,GAS,Environmentally Responsible,9.3796,-79.8219,"9.3796, -79.8219",Combined Cycle Gas Turbine,,"Bahia las Minas, Colon, Panama",POWERPLANTS
Santa Rosa 5-8 Power Plant Peru,424,Peru,Lima,GAS,Environmentally Responsible,-12.0401,-77.0119,"-12.0401, -77.0119",Open Cycle Gas Turbine,,"Santa Rosa, Distrito El Cercado de Lima, Provincia de Lima, Peru",POWERPLANTS
Ilijan CCGT Power Plant Philippines,1200,Philippines,Batangas,GAS,Environmentally Responsible,13.622,121.0795,"13.622, 121.0795",Combined Cycle Gas Turbine,Base Load,"Ilijan, Batangas City, Philippines",POWERPLANTS
Tapada de Outerio CCGT Power Plant Portugal,990,Portugal,Coimbra,GAS,Environmentally Responsible,41.0698,-8.4595,"41.0698, -8.4595",Combined Cycle Gas Turbine,,"Coimbra, Portugal",POWERPLANTS
Ribatejo CCGT Power Plant Portugal,1176,Portugal,Lisboa,GAS,Environmentally Responsible,39.0116,-8.9519,"39.0116, -8.9519",Combined Cycle Gas Turbine,Base Load,"30km N of Lisboa, Lisboa, Portugal",POWERPLANTS
ElecGas Pego CCGT Power Plant Portugal,830,Portugal,Santarem,GAS,Environmentally Responsible,39.4688,-8.1115,"39.4688, -8.1115",Combined Cycle Gas Turbine,,"Santarem, Portugal",POWERPLANTS
Sines Cogen OCGT Power Plant Portugal,82,Portugal,Setubal,GAS,Environmentally Responsible,37.9583,-8.8048,"37.9583, -8.8048",Open Cycle Gas Turbine,Cogeneration,"Sines Refinery, Setubal, Portugal",POWERPLANTS
Qatalum CCGT Power Plant Qatar,1350,Qatar,Al Wakrah,GAS,Environmentally Responsible,24.9713,51.5811,"24.9713, 51.5811",Combined Cycle Gas Turbine,Base Load,"Masaieed, Al Wakrah, Qatar",POWERPLANTS
Al Saliyah GT Power Plant Qatar,134,Qatar,Ar Rayyan,GAS,Environmentally Responsible,25.20649432,51.39263749,"25.2064943192, 51.3926374912",,,,POWERPLANTS
Kuokuang (Kuo Kuang) CCGT Power Plant Taiwan,480,Republic of China Taiwan,Taiwan,GAS,Environmentally Responsible,25.04246,121.3423,"25.04246, 121.3423",Combined Cycle Gas Turbine,Intermediate/Peak Load,"Guishan Township, Tao Yuan County, Taiwan, ROC",POWERPLANTS
Talin (Dalin) Gas Power Plant Unit 6 Taiwan,550,Republic of China Taiwan,Taiwan,GAS,Environmentally Responsible,22.5353237,120.336771,"22.5353237021, 120.336771011",,,,POWERPLANTS
Incheon Gas Thermal Power Plant South Korea,500,Republic of Korea,Gyeonggi-do,GAS,Environmentally Responsible,37.5111,126.6078,"37.5111, 126.6078",Sub-critical Thermal,Base Load,"Incheon, Gyeonggi-do, South Korea",POWERPLANTS
POSCO Incheon CCGT Power Plant South Korea,1800,Republic of Korea,Incheon,GAS,Environmentally Responsible,37.50894286,126.6189337,"37.5089428591, 126.618933678",Combined Cycle Gas Turbine,,"323, Wonchang-dong, Seo-gu, Incheon",POWERPLANTS
Ulsan 4 CCGT Power Plant South Korea,900,Republic of Korea,Ulsan,GAS,Environmentally Responsible,35.4731,129.3796,"35.4731, 129.3796",Combined Cycle Gas Turbine,Peaking Load and Backup,"Ulsan, South Korea",POWERPLANTS
Iernut-Ludus (Mures) Power Station Romania,800,Romania,Mures,GAS,Environmentally Responsible,46.4677,24.1833,"46.4677, 24.1833",Sub-critical Thermal,,"Lernut, Mures County, Romania",POWERPLANTS
Ufimskaya TPP-1 CHP Power Plant Russia,77.74,Russian Federation,Bashkortostan,GAS,Environmentally Responsible,54.84017,56.09098,"54.84017, 56.09098",Heat and Power Steam Turbine,Cogeneration,"Ufa, Republic of Bashkortostan, Russia",POWERPLANTS
Novo-Sterlitamak CHP Plant Russia,255,Russian Federation,Bashkortostan,GAS,Environmentally Responsible,53.667,55.8847,"53.667, 55.8847",Heat and Power Steam Turbine,Cogeneration,"Sterlitamak, Bashkortostan, Russian Federation",POWERPLANTS
AES Tisza II Thermal Power Plant Hungary,900,Hungary,Borsod-Abauj-Zemplen,GAS,Environmentally Responsible,48.9174,21.077,"48.9174, 21.077",Sub-critical Thermal,Base Load,"Tiszaujvaros, Borsod-Abauj-Zemplen, Hungary",POWERPLANTS
Kispest CCGT CHP Power Plant Hungary,114,Hungary,Budapest,GAS,Environmentally Responsible,47.4568,19.1673,"47.4568, 19.1673",Power and Heat Combined Cycle Gas Turbine,Cogeneration,"Budapest XVIII., Nefelejcs u. 2., Hungary",POWERPLANTS
Lanco Kondapalli CCGT Power Plant India,1466,India,Andhra Pradesh,GAS,Environmentally Responsible,16.64,80.5504,"16.64, 80.5504",Combined Cycle Gas Turbine,Base Load,"Kondapalli, Andhra Pradesh, India",POWERPLANTS
Vijjeswaran Gas CCGT India,272,India,Andhra Pradesh,GAS,Environmentally Responsible,16.9335,81.7243,"16.9335, 81.7243",Combined Cycle Gas Turbine,,"Vijjeswaran, Andhra Pradesh, India",POWERPLANTS
Konaseema CCGT Gas Power Plant India,445,India,Andhra Pradesh,GAS,Environmentally Responsible,16.7346,81.86215,"16.7346, 81.86215",Combined Cycle Gas Turbine,,"Ravulapalem, Andhra Pradesh, India",POWERPLANTS
Pragati Gas CCGT Power Plant India,330,India,Delhi,GAS,Environmentally Responsible,28.6146,77.2528,"28.6146, 77.2528",Combined Cycle Gas Turbine,,"New Delhi, Delhi Territory, India",POWERPLANTS
Pragati III (Bawana) CCGT Power Plant India,1500,India,Delhi,GAS,Environmentally Responsible,28.7962,77.0706,"28.7962, 77.0706",Combined Cycle Gas Turbine,Base/Intermediate Load,"Bawana, Delhi, India",POWERPLANTS
Goa CCGT Power Plant India,48,India,Goa,GAS,Environmentally Responsible,15.3771,73.877,"15.3771, 73.877",Combined Cycle Gas Turbine,,"Zuarinagar, Goa, India",POWERPLANTS
Vadodara Station I (GIPCL) Gas CCGT India,145,India,Gujarat,GAS,Environmentally Responsible,22.3758,73.1017,"22.3758, 73.1017",Combined Cycle Gas Turbine,,"Vadodara (Baroda), Gujarat, India",POWERPLANTS
Essar Hazira CCGT Power Plant India,515,India,Gujarat,GAS,Environmentally Responsible,21.111,72.655,"21.111, 72.655",Combined Cycle Gas Turbine,,"Hazira, Gujarat, India",POWERPLANTS
Hazira RIL Gas CHP Plant India,250,India,Gujarat,GAS,Environmentally Responsible,21.17240671,72.67250061,"21.1724067098, 72.6725006104",,,,POWERPLANTS
Jhanor-Gandhar Gas CCGT Power Plant India,648,India,Gujarat,GAS,Environmentally Responsible,21.8242,73.1136,"21.8242, 73.1136",Combined Cycle Gas Turbine,Base Load,"Bharuch, Gujarat, India",POWERPLANTS
Kawas Gas CCGT Power Plant India,645,India,Gujarat,GAS,Environmentally Responsible,21.175,72.6879,"21.175, 72.6879",Combined Cycle Gas Turbine,Base Load,"Surat, Gujarat, India",POWERPLANTS
Utran II CCGT Power Station India,375,India,Gujarat,GAS,Environmentally Responsible,21.2285,72.8705,"21.2285, 72.8705",Combined Cycle Gas Turbine,,"Utran, Gujarat, India",POWERPLANTS
Gas Utilization Facility Waste Plant CA USA,6.1,United States of America,California,WASTE,Environmentally Responsible,33.0362,-116.7356,"33.0362, -116.7356",,,,POWERPLANTS
Maine Independence Station Gas Plant ME USA,550.2,United States of America,Maine,GAS,Environmentally Responsible,44.8236,-68.7106,"44.8236, -68.7106",,,,POWERPLANTS
Rumford Power Associates Gas Plant ME USA,262.9,United States of America,Maine,GAS,Environmentally Responsible,44.5303,-70.5219,"44.5303, -70.5219",,,,POWERPLANTS
ANP Blackstone Energy Project Gas Plant MA USA,578,United States of America,Massachusetts,GAS,Environmentally Responsible,42.0601,-71.5156,"42.0601, -71.5156",Combined Cycle Gas Turbine,,"Blackstone, Worcester County, MA, USA",POWERPLANTS
Clark University Gas Plant MA USA,1.8,United States of America,Massachusetts,GAS,Environmentally Responsible,42.3468,-71.9077,"42.3468, -71.9077",,,,POWERPLANTS
Dighton CCGT Power Plant  MA USA,200,United States of America,Massachusetts,GAS,Environmentally Responsible,41.83144,-71.124389,"41.83144, -71.124389",Combined Cycle Gas Turbine,,"Dighton, Bristol County, MA, USA",POWERPLANTS
Kendall Square Station Gas Plant MA USA,277.4,United States of America,Massachusetts,GAS,Environmentally Responsible,42.3633,-71.0792,"42.3633, -71.0792",,,,POWERPLANTS
Riverdale Mills Gas Plant MA USA,1.3,United States of America,Massachusetts,GAS,Environmentally Responsible,42.3468,-71.9077,"42.3468, -71.9077",,,,POWERPLANTS
Southbridge Energy Center LLC Gas Plant MA USA,6.5,United States of America,Massachusetts,GAS,Environmentally Responsible,42.3468,-71.9077,"42.3468, -71.9077",,,,POWERPLANTS
Waters River Gas Plant MA USA,64.9,United States of America,Massachusetts,GAS,Environmentally Responsible,42.5428,-70.9236,"42.5428, -70.9236",,,,POWERPLANTS
Henry Station Gas Plant MI USA,15.4,United States of America,Michigan,GAS,Environmentally Responsible,43.7116,-83.9949,"43.7116, -83.9949",,,,POWERPLANTS
Midland Cogeneration Venture Gas Plant MI USA,1853.8,United States of America,Michigan,GAS,Environmentally Responsible,43.587,-84.2468,"43.587, -84.2468",,,,POWERPLANTS
Northeast Gas Plant MI USA,129.8,United States of America,Michigan,GAS,Environmentally Responsible,42.7012,-82.932,"42.7012, -82.932",,,,POWERPLANTS
Voss Lantz Gas Plant MI USA,1,United States of America,Michigan,GAS,Environmentally Responsible,42.2878,-83.2903,"42.2878, -83.2903",,,,POWERPLANTS
Warner Lambert Gas Plant MI USA,5.5,United States of America,Michigan,GAS,Environmentally Responsible,42.2578,-83.8426,"42.2578, -83.8426",,,,POWERPLANTS
Austin DT Gas Plant MN USA,33.5,United States of America,Minnesota,GAS,Environmentally Responsible,43.7006,-92.9617,"43.7006, -92.9617",,,,POWERPLANTS
Hutchinson Plant #1 Gas Plant MN USA,35.7,United States of America,Minnesota,GAS,Environmentally Responsible,44.8247,-94.2715,"44.8247, -94.2715",,,,POWERPLANTS
Janesville Gas Plant MN USA,4.9,United States of America,Minnesota,GAS,Environmentally Responsible,44.0222,-93.587,"44.0222, -93.587",,,,POWERPLANTS
Mora Gas Plant MN USA,13.8,United States of America,Minnesota,GAS,Environmentally Responsible,45.9448,-93.292,"45.9448, -93.292",,,,POWERPLANTS
Solway CT Gas Plant MN USA,51.3,United States of America,Minnesota,GAS,Environmentally Responsible,47.5444,-95.1297,"47.5444, -95.1297",,,,POWERPLANTS
Spring Valley Gas Plant MN USA,3.9,United States of America,Minnesota,GAS,Environmentally Responsible,43.6728,-92.0917,"43.6728, -92.0917",,,,POWERPLANTS
Delta Gas Plant MS USA,225,United States of America,Mississippi,GAS,Environmentally Responsible,33.7947,-90.7139,"33.7947, -90.7139",,,,POWERPLANTS
Magnolia Power Plant Gas Plant MS USA,1003.5,United States of America,Mississippi,GAS,Environmentally Responsible,34.8358,-89.2017,"34.8358, -89.2017",,,,POWERPLANTS
Moselle Gas Plant MS USA,260,United States of America,Mississippi,GAS,Environmentally Responsible,31.5289,-89.2992,"31.5289, -89.2992",,,,POWERPLANTS
Nodaway Gas Plant MO USA,207.2,United States of America,Missouri,GAS,Environmentally Responsible,40.2833,-94.7833,"40.2833, -94.7833",,,,POWERPLANTS
Station H Gas Plant MO USA,43,United States of America,Missouri,GAS,Environmentally Responsible,39.007,-94.3507,"39.007, -94.3507",,,,POWERPLANTS
Trigen St.Louis Gas Plant MO USA,33.8,United States of America,Missouri,GAS,Environmentally Responsible,38.6409,-90.448,"38.6409, -90.448",,,,POWERPLANTS
Viaduct Gas Plant MO USA,30.6,United States of America,Missouri,GAS,Environmentally Responsible,37.3853,-89.687,"37.3853, -89.687",,,,POWERPLANTS
Ansley Gas Plant NE USA,1.5,United States of America,Nebraska,GAS,Environmentally Responsible,41.3909,-99.7219,"41.3909, -99.7219",,,,POWERPLANTS
C W Burdick Gas Plant NE USA,240.8,United States of America,Nebraska,GAS,Environmentally Responsible,40.9228,-98.3269,"40.9228, -98.3269",,,,POWERPLANTS
Kimball Gas Plant NE USA,9.6,United States of America,Nebraska,GAS,Environmentally Responsible,41.1957,-103.7142,"41.1957, -103.7142",,,,POWERPLANTS
Nebraska City # 2 Gas Plant NE USA,13.5,United States of America,Nebraska,GAS,Environmentally Responsible,40.6533,-96.1269,"40.6533, -96.1269",,,,POWERPLANTS
Sarpy County Gas Plant NE USA,337.7,United States of America,Nebraska,GAS,Environmentally Responsible,41.1706,-95.9692,"41.1706, -95.9692",,,,POWERPLANTS
Stuart Gas Plant NE USA,1.9,United States of America,Nebraska,GAS,Environmentally Responsible,42.4499,-98.7811,"42.4499, -98.7811",,,,POWERPLANTS
Apex Generating Station Gas Plant NV USA,600.6,United States of America,Nevada,GAS,Environmentally Responsible,36.4178,-114.9622,"36.4178, -114.9622",,,,POWERPLANTS
Fort Churchill Gas Plant NV USA,210.2,United States of America,Nevada,GAS,Environmentally Responsible,39.1275,-119.1278,"39.1275, -119.1278",,,,POWERPLANTS
Asbury Park Press Gas Plant NJ USA,1.4,United States of America,New Jersey,GAS,Environmentally Responsible,40.2531,-74.2261,"40.2531, -74.2261",,,,POWERPLANTS
Freehold Ashbury Park Press Gas Plant NJ USA,2.2,United States of America,New Jersey,GAS,Environmentally Responsible,40.2531,-74.2261,"40.2531, -74.2261",,,,POWERPLANTS
Gilbert Gas Power Plant NJ USA,608,United States of America,New Jersey,GAS,Environmentally Responsible,40.56668,-75.161,"40.56668, -75.161",Open Cycle Gas Turbine,,"Milford, Hunterdon County, NJ, USA",POWERPLANTS
Pedricktown Cogen Plant Gas Plant NJ USA,134.5,United States of America,New Jersey,GAS,Environmentally Responsible,39.7661,-75.4242,"39.7661, -75.4242",,,,POWERPLANTS
PSEG Edison Generating Station Gas Plant NJ USA,501.6,United States of America,New Jersey,GAS,Environmentally Responsible,40.4911,-74.3958,"40.4911, -74.3958",,,,POWERPLANTS
PSEG Essex Generating Station Gas Plant NJ USA,595.2,United States of America,New Jersey,GAS,Environmentally Responsible,40.7375,-74.1211,"40.7375, -74.1211",,,,POWERPLANTS
PSEG Kearny Generating Station Gas Plant NJ USA,846.9,United States of America,New Jersey,GAS,Environmentally Responsible,40.7375,-74.1,"40.7375, -74.1",,,,POWERPLANTS
University of Medicine Dentistry NJ Gas Plant NJ USA,10.5,United States of America,New Jersey,GAS,Environmentally Responsible,40.7815,-74.249,"40.7815, -74.249",,,,POWERPLANTS
Delta Person LLC Gas Plant NM USA,150,United States of America,New Mexico,GAS,Environmentally Responsible,35.0515,-106.6417,"35.0515, -106.6417",,,,POWERPLANTS
Lordsburg Generating Gas Plant NM USA,88,United States of America,New Mexico,GAS,Environmentally Responsible,32.3511,-108.6983,"32.3511, -108.6983",,,,POWERPLANTS
